,ASSESSMENT_YEAR,TOTALVALUE,HOMESTEAD,NEIGHBORHOOD,COMMUNITY,ZIPCODE,FORMATTED_ADDRESS,WARD,PROPERTY_TYPE,BUILDINGVALUE
3,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2448,3309 19TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2448,3305 19TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
5,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2448,3301 19TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
51,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2406,3332 20TH AVE S,9.0,COMMERCIAL,0
143,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2428,2118 33RD ST E,9.0,TRIPLEX,0
144,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2416,3244 22ND AVE S,9.0,COMMERCIAL,0
188,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2411,3309 21ST AVE S,9.0,RESIDENTIAL,0
250,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407,3549 22ND AVE S,9.0,VACANT LAND - COMMERCIAL,0
320,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406-2414,2321 34TH ST E,9.0,RESIDENTIAL,0
415,2020,0,NON-HOMESTEADED,ELLIOT PARK,CENTRAL,55415-1735,1205 7TH ST S,6.0,VACANT LAND - RESIDENTIAL,0
435,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407-3010,3738 23RD AVE S,12.0,VACANT LAND - APARTMENT,0
436,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407-3010,3720 23RD AVE S,12.0,NURSING HOME,0
437,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407-3026,2220 38TH ST E,12.0,RESIDENTIAL,0
439,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407-3009,3717 23RD AVE S,12.0,VACANT LAND - APARTMENT,0
440,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406,2829 35TH ST E,12.0,VACANT LAND - RESIDENTIAL,0
443,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406,3452 31ST AVE S,12.0,VACANT LAND - COMMERCIAL,0
444,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406,3450 31ST AVE S,12.0,VACANT LAND - COMMERCIAL,0
445,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406,3020 35TH ST E,12.0,VACANT LAND - COMMERCIAL,0
453,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406,3421 1/2 MINNEHAHA AVE,12.0,VACANT LAND - COMMERCIAL,0
505,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55407-1247,2740 LONGFELLOW AVE,9.0,VACANT LAND - APARTMENT,0
539,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406-2627,3552 MINNEHAHA AVE,12.0,RESIDENTIAL,0
609,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,3301 1/2 BENJAMIN ST,1.0,VACANT LAND - COMMERCIAL,0
665,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2200 34TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
674,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,3329 1/2 GARFIELD ST,1.0,VACANT LAND - COMMERCIAL,0
675,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,3327 GARFIELD ST,1.0,VACANT LAND - COMMERCIAL,0
679,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,3320 ARTHUR ST,1.0,VACANT LAND - COMMERCIAL,0
692,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2100 34TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
693,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2102 34TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
694,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2104 34TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
695,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2106 34TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
701,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,1201 35TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
702,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,1200 36TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
703,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,1400 36TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
778,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1311,3501 FILLMORE ST,1.0,RESIDENTIAL,0
792,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,3501 1/2 FILLMORE ST,1.0,VACANT LAND - COMMERCIAL,0
878,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1804,1804 31ST ST E,9.0,VACANT LAND - RESIDENTIAL,0
880,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1817,3100 16TH AVE S,9.0,COMMERCIAL,0
904,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1679,1300 POWDERHORN TERR,9.0,COOPERATIVE,0
905,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1678,1220 POWDERHORN TERR,9.0,COOPERATIVE,0
954,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407,3019 12TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
964,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1704,3104 14TH AVE S,9.0,RESIDENTIAL,0
995,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1701,3043 14TH AVE S,9.0,RESIDENTIAL,0
1002,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406,3475 HIAWATHA AVE,12.0,VACANT LAND - COMMERCIAL,0
1004,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406,2801 35TH ST E,12.0,VACANT LAND - COMMERCIAL,0
1136,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406-2508,3536 27TH AVE S,9.0,RESIDENTIAL,0
1137,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406-2508,3540 27TH AVE S,9.0,RESIDENTIAL,0
1169,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406,3413 26TH AVE S,9.0,RESIDENTIAL,0
1178,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406,3529 27TH AVE S,9.0,RESIDENTIAL,0
1189,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406,2714 36TH ST E,9.0,COMMON AREA (NO VALUE),0
1198,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406,2630 35TH ST E,9.0,COMMON AREA (NO VALUE),0
1207,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55406-2544,3612 26TH AVE S,12.0,RESIDENTIAL,0
1301,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1404,3447 BUCHANAN ST,1.0,RESIDENTIAL,0
