offense_general,CATEGORY,UCRCode,OFFENSE,offense_description
HOMICIDE,Violent,1,JHOMIC,Justifiable Homicide
HOMICIDE,Violent,1,MSLTR1,Mnsltr-heat/passion
HOMICIDE,Violent,1,MURDR,Murder (general)
HOMICIDE,Violent,1 ,MURDR1 ,Murder-premeditation
HOMICIDE,Violent,1 ,MURDR2 ,Intent W/o Premedita
HOMICIDE,Violent,1 ,MURDR3 ,Murder W/o Intent
HOMICIDE,Violent,2 ,MNSLTR ,Negligent Manslaught
HOMICIDE,Violent,2 ,MSLTR2 ,Neglig Manslaughter
RAPE,Violent,3,CSCR,Crim Sex Cond-rape [1 - 2 - 3 - 4 - 5]
ROBBERY,Violent,4,ROBBIZ,Robbery Of Business
ROBBERY,Violent,4,ROBPAG,Robbery Per Agg
ROBBERY,Violent,3 ,ROBPER,Robbery Of Person
AGGRAVATED ASSAULT,Violent,5,ADLTTN,Adulteration/poison
AGGRAVATED ASSAULT,Violent,5,ASLT1,Aslt-great Bodily Hm
AGGRAVATED ASSAULT,Violent,5 ,ASLT2,Asslt W/dngrs Weapon
AGGRAVATED ASSAULT,Violent,5,ASLT3,Aslt-sgnfcnt Bdly Hm
AGGRAVATED ASSAULT,Violent,5 ,ASLT4,Aslt-police/emerg P
AGGRAVATED ASSAULT,Violent,5,DASLT1,1st Deg Domes Asslt
AGGRAVATED ASSAULT,Violent,5,DASLT2,2nd Deg Domes Aslt
AGGRAVATED ASSAULT,Violent,4,DASLT3,3rd Deg Domes Aslt
BURGLARY,Non-Violent,6,BURGB,Burglary Of Business
BURGLARY,Non-Violent,6 ,BURGD,Burglary Of Dwelling
BURGLARY,Violent,6,LOOT,Looting
LARCENY/THEFT,Non-Violent,7,COINOP,Theft/coinop Device
LARCENY/THEFT,Non-Violent,7,COMPUT,Theft By Computer
LARCENY/THEFT,Non-Violent,7,METERS,Tamp W/park Meters
LARCENY/THEFT,Non-Violent,7,NOPAY,Gas Station Driv-off
LARCENY/THEFT,Non-Violent,7,PETIT,Petty Theft
LARCENY/THEFT,Non-Violent,7,POCKET,Pocket-picking
LARCENY/THEFT,Non-Violent,7,SHOPLF,Shoplifting
LARCENY/THEFT,Non-Violent,7,TBLDG,Theft From Building
LARCENY/THEFT,Non-Violent,7,TFMV,Theft From Motr Vehc
LARCENY/THEFT,Non-Violent,7,TFPER,Theft From Person
LARCENY/THEFT,Non-Violent,7 ,THEFT,Other Theft
LARCENY/THEFT,Non-Violent,7,THFTSW,Theft By Swindle
LARCENY/THEFT,Non-Violent,7,TMVP,Theft-motr Veh Parts
MOTOR VEHICLE THEFT,Non-Violent,8 ,AUTOTH,Motor Vehicle Theft
MOTOR VEHICLE THEFT,Non-Violent,8,MVTHFT,Other Vehicle Theft
ARSON,Violent,10,ARSON,Arson
OTHER ASSAULT,Violent,9 ,ASLT5,Atmpt-cause Bod Harm
OTHER ASSAULT,Violent,9,BOMB,Bomb/incendiary Devc
OTHER ASSAULT,Violent,9,BOMBT,Bomb Threat
OTHER ASSAULT,Violent,9,DASLT5,5th Deg Domes Aslt
OTHER ASSAULT,Violent,9,THREAT,Terroristic Threats
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,11,CLONE,Clone Phone
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,11,CLONE3,Clone Phone 3rd Degree
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,11,CTRFT,Counterfeiting
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,11,FNARP,Forged Prescription
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,11,FORG,Forgery
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,11,FORGCK,Forgery Of Check
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,12,BADCHK,Bad Checks
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,12,CCATM,Credt Card/atm Fraud
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,12,CONGAM,Con/swindle/fals Pre
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,12,FALNOT,False Notarization
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,12,INKEEP,Defrauding-innkeeper
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,12,SCALP,Ticket Scalping
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,12,TAXIFR,Failur-pay Taxi Fare
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,12,VAFIN,Financial Fraud of Vulnerable Adult
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,12,WIREFR,Wire Fraud
FORGERY/FRAUD/EMBEZZLEMENT,Non-Violent,13,EMBEZL,Embezzlement
POSSESSION OF STOLEN PROPERTY,Non-Violent,14,PSSFIR,Poss Stolen Firearm
POSSESSION OF STOLEN PROPERTY,Non-Violent,14,R&C,Stolen Propty Offens
POSSESSION OF STOLEN PROPERTY,Non-Violent,14,STOLMV,Poss Of Stolen Mv
VANDALISM/PROPERTY DAMAGE,Violent,15,CMTERY,Damage-cemetery Prop
VANDALISM/PROPERTY DAMAGE,Violent,15,CULT,Cult/satanic/butcher
VANDALISM/PROPERTY DAMAGE,Violent,15,DAMMV,Damage To Motor Veh
